variant,removed_branch,hit_branches,metadata_branches,n_hit_branches,train_loss,train_score_p95,train_score_p99,train_anomaly_fraction_above_threshold,eval_loss,eval_score_mean,eval_score_std,eval_score_p50,eval_score_p95,eval_score_p99,eval_anomaly_fraction_above_threshold
baseline_all,,hits0.h.integral;hits0.h.sumadc;hits0.h.width;hits0.h.time,meta.run;meta.subrun;meta.evt,4,52825.76509765625,135289.92421874992,305600.6731249996,0.59605,29722.622749274724,29722.623609900897,450577.82452534075,6656.32373046875,96145.58749999992,242998.42656249943,0.5923309788092835
minus_hits0_h_integral,hits0.h.integral,hits0.h.sumadc;hits0.h.width;hits0.h.time,meta.run;meta.subrun;meta.evt,3,48097.17740234375,138123.35312499997,309836.6006249983,0.59605,23699.158084873234,23699.158960916953,280721.85063118977,4975.79833984375,81204.82499999995,200087.3134374997,0.5923309788092835
minus_hits0_h_sumadc,hits0.h.sumadc,hits0.h.integral;hits0.h.width;hits0.h.time,meta.run;meta.subrun;meta.evt,3,44645.418828125,128086.23437499999,296214.3399999977,0.59605,24662.46579764758,24662.466339024177,266495.36528835946,5718.8369140625,84053.90312499992,219792.0164062488,0.5923309788092835
minus_hits0_h_width,hits0.h.width,hits0.h.integral;hits0.h.sumadc;hits0.h.time,meta.run;meta.subrun;meta.evt,3,66205.01595703125,171605.19140624988,389520.1171874986,0.59605,36157.887201611375,36157.88753707242,518033.2969703705,7171.60693359375,120058.50390624996,288175.48999999976,0.5923309788092835
minus_hits0_h_time,hits0.h.time,hits0.h.integral;hits0.h.sumadc;hits0.h.width,meta.run;meta.subrun;meta.evt,3,39467.71388671875,70733.91953125,218846.4235937445,0.59605,18932.888420589996,18932.88829826588,476369.27298531303,1388.039794921875,51136.24375,155079.26609374874,0.5923309788092835
